|Photo Number (BPPM))|,Time Bins (BPPM)|,Photon Number (PPM),Time Bin (PPM)|,Power Ratio (3 d.p.) (BPPM)|,Power Ratio (3 d.p.) (PPM)|,Matched Photon Number (BPPM),Matched Time Bin (PPM),Photon Number (General)
"1,1,1,1,1,1,5,5,""1/5, 2/10, 3/15, 4/20"""
"2,3,1,2,0.667,0.5,6,8,""1/8, 2/16, 3/24. 4/ 32"""
"3,7,1,3,0.429,0.333,7,11,""1/11, 2/22, 3/33, 4/44"""
"4,14,1,4,0.286,0.25,8,14,""1/14, 2/28, 3/42, 4/60"""
"5,26,1,5,0.192,0.2,9,18,""1/18,2/36,3/54,4/72"""
"6,46,1,6,0.13,0.167,10,24,""1/24,2/48,3/72,4/96"""
"7,75,1,7,0.093,0.143,11,30,""1/30,2/60,3/90,4/120"""
"8,113,1,8,0.071,0.125,12,38,""1/38,2/76,3/114,4/152"""
"9,165,1,9,0.055,0.111,13,47,""1/47,2/94,3/141,4/188"""
10,238,1,10,0.042,0.1,,,
11,332,1,11,0.033,0.091,,,
12,459,1,12,0.026,0.083,,,
13,610,1,13,0.021,0.077,,,
14,791,1,14,0.018,0.071,,,
15,1002,1,15,0.015,0.067,,,
16,1259,1,16,0.013,0.062,,,
17,1574,1,17,0.011,0.059,,,
18,1947,1,18,0.009,0.056,,,
19,2359,1,19,0.008,0.053,,,
20,2834,1,20,0.007,0.05,,,
21,3364,1,21,0.006,0.048,,,
22,3909,1,22,0.006,0.045,,,
23,4516,1,23,0.005,0.043,,,
24,5232,1,24,0.005,0.042,,,
25,6029,1,25,0.004,0.04,,,
26,6890,1,26,0.004,0.038,,,
27,7854,1,27,0.003,0.037,,,
28,8913,1,28,0.003,0.036,,,
29,10073,1,29,0.003,0.034,,,
30,11379,1,30,0.003,0.033,,,
31,12764,1,31,0.002,0.032,,,
32,14198,1,32,0.002,0.031,,,
33,15753,1,33,0.002,0.03,,,
34,17474,1,34,0.002,0.029,,,
35,19307,1,35,0.002,0.029,,,
36,21240,1,36,0.002,0.028,,,
37,23297,1,37,0.002,0.027,,,
38,25557,1,38,0.001,0.026,,,
39,28053,1,39,0.001,0.026,,,
40,30751,1,40,0.001,0.025,,,
41,33624,1,41,0.001,0.024,,,
42,36684,1,42,0.001,0.024,,,
43,39880,1,43,0.001,0.023,,,
44,43211,1,44,0.001,0.023,,,
45,46839,1,45,0.001,0.022,,,
46,50550,1,46,0.001,0.022,,,
47,54417,1,47,0.001,0.021,,,
48,58556,1,48,0.001,0.021,,,
49,63002,1,49,0.001,0.02,,,
50,67641,1,50,0.001,0.02,,,
51,72662,1,51,0.001,0.02,,,
52,77726,1,52,0.001,0.019,,,
53,83048,1,53,0.001,0.019,,,
54,88661,1,54,0.001,0.019,,,
55,94664,1,55,0.001,0.018,,,
56,100937,1,56,0.001,0.018,,,
57,107430,1,57,0.001,0.018,,,
58,114071,1,58,0.001,0.017,,,
59,121050,1,59,0,0.017,,,
60,128325,1,60,0,0.017,,,
61,135912,1,61,0,0.016,,,
62,143929,1,62,0,0.016,,,
63,152302,1,63,0,0.016,,,
64,161373,1,64,0,0.016,,,
65,170540,1,65,0,0.015,,,
66,180300,1,66,0,0.015,,,
67,190405,1,67,0,0.015,,,
68,200894,1,68,0,0.015,,,
69,212003,1,69,0,0.014,,,
70,223377,1,70,0,0.014,,,
71,234893,1,71,0,0.014,,,
72,246994,1,72,0,0.014,,,
73,259324,1,73,0,0.014,,,
74,272191,1,74,0,0.014,,,
75,285617,1,75,0,0.013,,,
76,299540,1,76,0,0.013,,,
77,314075,1,77,0,0.013,,,
78,328986,1,78,0,0.013,,,
79,344455,1,79,0,0.013,,,
80,360359,1,80,0,0.013,,,
81,376495,1,81,0,0.012,,,
82,393395,1,82,0,0.012,,,
83,410436,1,83,0,0.012,,,
84,428258,1,84,0,0.012,,,
85,447679,1,85,0,0.012,,,
86,467612,1,86,0,0.012,,,
87,487900,1,87,0,0.011,,,
88,508896,1,88,0,0.011,,,
89,530387,1,89,0,0.011,,,
90,552452,1,90,0,0.011,,,
91,575064,1,91,0,0.011,,,
92,597723,1,92,0,0.011,,,
93,621447,1,93,0,0.011,,,
94,645846,1,94,0,0.011,,,
95,670815,1,95,0,0.011,,,
96,696175,1,96,0,0.01,,,
97,722246,1,97,0,0.01,,,
98,748926,1,98,0,0.01,,,
99,776527,1,99,0,0.01,,,
